Entity,Code,Year,"Meat, sheep and goat kilograms per year per capita per person","Meat, beef and buffalo, kilograms per year per capita per person","Meat, pig kilograms per year per capita per person",total.red.meat
United Kingdom,GBR,1961,11.63708,24.929434,25.37084,61.937354
United Kingdom,GBR,1962,11.422534,25.673122,26.686007,63.781663
United Kingdom,GBR,1963,10.99045,26.40315,26.202595,63.596195
United Kingdom,GBR,1964,11.032764,23.92104,27.040302,61.994106
United Kingdom,GBR,1965,10.7509575,22.153791,28.893196,61.7979445
United Kingdom,GBR,1966,10.871256,23.778364,27.639465,62.289085
United Kingdom,GBR,1967,10.969917,24.135824,26.53236,61.638101
United Kingdom,GBR,1968,10.738179,23.331226,27.241488,61.310893
United Kingdom,GBR,1969,10.019325,24.040363,27.540607,61.600295
United Kingdom,GBR,1970,9.797943,24.188984,27.598707,61.585634
United Kingdom,GBR,1971,10.199968,23.806604,29.046864,63.053436
United Kingdom,GBR,1972,9.4514065,23.478336,28.764713,61.6944555
United Kingdom,GBR,1973,8.371339,21.9998,27.527287,57.898426
United Kingdom,GBR,1974,7.6779084,24.597374,26.491793,58.7670754
United Kingdom,GBR,1975,8.299547,24.858498,23.814781,56.972826
United Kingdom,GBR,1976,7.6051364,23.056522,24.171673,54.8333314
United Kingdom,GBR,1977,6.9877553,22.69261,25.417332,55.0976973
United Kingdom,GBR,1978,6.988408,24.273405,26.13363,57.395443
United Kingdom,GBR,1979,7.1240816,24.406761,27.22022,58.7510626
United Kingdom,GBR,1980,7.6389217,22.826422,26.520409,56.9857527
United Kingdom,GBR,1981,6.925418,22.653141,26.155996,55.734555
United Kingdom,GBR,1982,7.472148,21.00035,25.881351,54.353849
United Kingdom,GBR,1983,7.2511373,21.070478,25.971525,54.2931403
United Kingdom,GBR,1984,7.042594,22.502192,25.080462,54.625248
United Kingdom,GBR,1985,7.153696,21.93199,25.198242,54.283928
United Kingdom,GBR,1986,6.7585726,22.108042,25.041763,53.9083776
United Kingdom,GBR,1987,6.7283845,22.798412,25.91229,55.4390865
United Kingdom,GBR,1988,6.839876,21.681305,26.027582,54.548763
United Kingdom,GBR,1989,6.8102107,21.812704,25.267883,53.8907977
United Kingdom,GBR,1990,7.3373,20.700596,25.084957,53.122853
United Kingdom,GBR,1991,7.0830507,21.1291,24.940742,53.1528927
United Kingdom,GBR,1992,7.001786,20.555243,24.606277,52.163306
United Kingdom,GBR,1993,6.923344,17.028225,24.39178,48.343349
United Kingdom,GBR,1994,6.585082,16.863014,25.009302,48.457398
United Kingdom,GBR,1995,6.6566744,17.407454,23.96403,48.0281584
United Kingdom,GBR,1996,6.810199,15.302917,24.68697,46.800086
United Kingdom,GBR,1997,6.3528986,16.844198,24.159052,47.3561486
United Kingdom,GBR,1998,6.594498,16.376003,24.844624,47.815125
United Kingdom,GBR,1999,6.7437644,16.60389,24.409822,47.7574764
United Kingdom,GBR,2000,6.823799,17.284954,24.198935,48.307688
United Kingdom,GBR,2001,5.5615053,17.44609,25.602964,48.6105593
United Kingdom,GBR,2002,5.931955,19.10851,24.168709,49.209174
United Kingdom,GBR,2003,5.680295,20.988039,25.977081,52.645415
United Kingdom,GBR,2004,5.8445654,21.907112,25.880217,53.6318944
United Kingdom,GBR,2005,5.8532205,20.656075,25.800116,52.3094115
United Kingdom,GBR,2006,5.921116,21.670885,26.80451,54.396511
United Kingdom,GBR,2007,6.0874925,21.803568,27.25446,55.1455205
United Kingdom,GBR,2008,5.7475924,20.736996,25.888983,52.3735714
United Kingdom,GBR,2009,5.331523,19.334202,25.884642,50.550367
United Kingdom,GBR,2010,4.741382,19.463572,25.091473,49.296427
United Kingdom,GBR,2011,4.613748,18.724045,25.709438,49.047231
United Kingdom,GBR,2012,4.170082,18.705513,25.399591,48.275186
United Kingdom,GBR,2013,4.414022,18.055548,24.70654,47.17611
United Kingdom,GBR,2014,4.4336743,18.313871,24.744698,47.4922433
United Kingdom,GBR,2015,4.808371,18.644907,25.588114,49.041392
United Kingdom,GBR,2016,4.5634465,18.672268,26.354404,49.5901185
United Kingdom,GBR,2017,4.301141,18.558624,25.587805,48.44757
United Kingdom,GBR,2018,4.199803,18.520931,25.746185,48.466919
United Kingdom,GBR,2019,4.0697484,17.104883,25.423489,46.5981204
United Kingdom,GBR,2020,3.9726784,20.211872,25.130426,49.3149764
United Kingdom,GBR,2021,4.0367355,17.896858,25.284285,47.2178785
United Kingdom,GBR,2022,4.059686,17.129896,25.912682,47.102264
