"elasticity","RR50","mean_PIF","DALYs_averted_per100k","DALYs_total_averted"
-0.3,1.08,0.0124746732358233,4.23441215533364,84676.7264668995
-0.3,1.12,0.0183151435048565,6.21687536259427,124320.913382753
-0.3,1.15,0.022538458974372,7.65040663336781,152987.993365533
-0.3,1.18,0.0266354925683768,9.04106394582604,180797.8017063
-0.3,1.22,0.031913520681349,10.8325723371515,216623.817472397
-0.4,1.08,0.0165981387439645,5.6340649306078,112666.176423861
-0.4,1.12,0.0243451684323271,8.26365974123368,165251.571225329
-0.4,1.15,0.0299375599306844,10.1618786126609,203211.477842899
-0.4,1.18,0.0353550242163119,12.0007049360541,239983.852279715
-0.4,1.22,0.0423228813361872,14.3657492999408,287279.659745835
-0.5,1.08,0.0207043462403315,7.02785009284428,140538.389251541
-0.5,1.12,0.0303380673641871,10.2978216885658,205930.026365661
-0.5,1.15,0.037280521385173,12.6542639622029,253053.59967175
-0.5,1.18,0.043996263479099,14.9337278836973,298638.055317568
-0.5,1.22,0.0526200554946822,17.8607852810544,357173.413080079
-0.6,1.08,0.0247933681295057,8.41579230041686,168293.857205454
-0.6,1.12,0.0362940694302654,12.3194392367076,246357.836572511
-0.6,1.15,0.0445677703113722,15.1277080898591,302517.2616714
-0.6,1.18,0.052559915028741,17.8403727655618,356765.201573212
-0.6,1.22,0.0628062551385815,21.3180930164072,426313.317147793
-0.7,1.08,0.0288652765115465,9.79791610781391,195933.070469076
-0.7,1.12,0.042213402342771,14.3285899341737,286536.549968911
-0.7,1.15,0.0517997304274029,17.5823552929673,351605.344510895
-0.7,1.18,0.0610466771791668,20.7208773895337,414370.038539057
-0.7,1.22,0.0728826791239942,24.7380807644547,494707.522314227
-0.8,1.08,0.0329201431832753,11.1742459660772,223456.517162592
-0.8,1.12,0.0480962924050867,16.3253508488809,326467.70509204
-0.8,1.15,0.0589768222208558,20.0183487668402,400320.706878456
-0.8,1.18,0.0694572419437434,23.575477414231,471457.270838222
-0.8,1.22,0.0828505133238996,28.1211523548893,562364.090607642
-0.9,1.08,0.0369580396395549,12.5448062232389,250864.6833516
-0.9,1.12,0.0539429645205066,18.3097985711347,366152.83095273
-0.9,1.15,0.0660994629734845,22.4358306132038,448666.18564964
-0.9,1.18,0.0777922950922671,26.4044063684784,528031.560612609
-0.9,1.22,0.0927109307691044,31.4677072368045,629290.996679166
-1,1.08,0.0409790370745617,13.9096211247564,278158.053055785
-1,1.12,0.0597536422009209,20.2820092165964,405593.447094602
-1,1.15,0.0731680667857088,24.8349418485701,496644.596054187
-1,1.18,0.0860525162074377,29.2078956706039,584097.527907474
-1,1.22,0.102465091787666,34.778140526335,695496.128752185
-1.1,1.08,0.0449832063830542,15.2687148139459,305337.108257551
-1.1,1.12,0.0655285475754454,22.2420584292323,444791.06365283
-1.1,1.15,0.0801830446009307,27.2158224125458,544258.731841609
-1.1,1.18,0.09423857874082,31.986174647561,639659.751052496
-1.1,1.22,0.112114144142797,38.052843053777,760987.289561403
-1.2,1.08,0.0489706181616352,16.6221113324138,332402.328910614
-1.2,1.12,0.0712679013989984,24.1900213842438,483747.181412547
-1.2,1.15,0.0871448042296638,29.5786111760776,591511.365445494
-1.2,1.18,0.102351150068299,34.739470553877,694722.767039392
-1.2,1.22,0.12165922316927,41.2922014101943,825772.197281658
